Count,ts,Actual_Lenth_Winding_Side_1,Winding_side_1_Web_3_Tension,Winding_side_1_Web_3_Pressure,Winding_side_1_Actual_Diameter
0,2017-06-27 23:55:09.380,,157,738.54,
1,2017-06-27 23:55:10.380,,157,738.54,
2,2017-06-27 23:55:14.375,,157,738.54,
3,2017-06-27 23:55:23.390,,157,740.67,
4,2017-06-27 23:55:24.374,,157,740.67,
5,2017-06-27 23:55:33.389,,157,740.67,
6,2017-06-27 23:55:37.384,,157,743.82,
7,2017-06-27 23:55:38.393,,157,743.82,
8,2017-06-27 23:55:44.375,,156,743.82,
9,2017-06-27 23:55:45.375,,156,743.82,
10,2017-06-27 23:55:48.375,438.63,156,743.82,193.0
11,2017-06-27 23:55:51.376,,156,770.2,
12,2017-06-27 23:55:52.377,,156,770.2,
13,2017-06-27 23:55:58.390,,156,770.2,
14,2017-06-27 23:55:59.378,,156,770.2,
15,2017-06-27 23:56:00.378,,156,770.2,
16,2017-06-27 23:56:05.380,,156,805.63,
17,2017-06-27 23:56:06.380,,156,805.63,
18,2017-06-27 23:56:19.379,,156,825.96,
19,2017-06-27 23:56:20.379,,156,825.96,
20,2017-06-27 23:56:28.399,,156,825.96,
21,2017-06-27 23:56:33.403,,156,832.21,
22,2017-06-27 23:56:34.387,,156,832.21,
23,2017-06-27 23:56:43.399,,156,832.21,
24,2017-06-27 23:56:47.376,,156,851.83,
25,2017-06-27 23:56:48.379,922.83,156,851.83,210.0
26,2017-06-27 23:56:54.382,,155,851.83,
27,2017-06-27 23:56:55.383,,155,851.83,
28,2017-06-27 23:57:01.385,,155,872.13,
29,2017-06-27 23:57:02.386,,155,872.13,
30,2017-06-27 23:57:06.378,,155,872.13,
31,2017-06-27 23:57:08.396,,155,872.13,
32,2017-06-27 23:57:09.380,,155,872.13,
33,2017-06-27 23:57:10.387,,155,872.13,
34,2017-06-27 23:57:15.388,,155,894.7,
35,2017-06-27 23:57:16.388,,155,894.7,
36,2017-06-27 23:57:29.380,,155,912.14,
37,2017-06-27 23:57:30.382,,155,912.14,
38,2017-06-27 23:57:43.390,,155,917.25,
39,2017-06-27 23:57:44.375,,155,917.25,
40,2017-06-27 23:57:48.385,1412.18,155,917.25,235.0
41,2017-06-27 23:57:53.396,,155,917.25,
42,2017-06-27 23:57:57.384,,155,919.96,
43,2017-06-27 23:57:58.403,,155,919.96,
44,2017-06-27 23:58:04.383,,154,919.96,
45,2017-06-27 23:58:05.383,,154,919.96,
46,2017-06-27 23:58:06.383,,154,919.96,
47,2017-06-27 23:58:11.384,,154,926.04,
48,2017-06-27 23:58:12.382,,154,926.04,
49,2017-06-27 23:58:18.391,,154,926.04,
50,2017-06-27 23:58:19.375,,154,926.04,
51,2017-06-27 23:58:20.375,,154,926.04,
52,2017-06-27 23:58:25.387,,154,945.5,
53,2017-06-27 23:58:26.387,,154,945.5,
54,2017-06-27 23:58:30.385,,154,945.5,
55,2017-06-27 23:58:39.390,,154,967.49,
56,2017-06-27 23:58:40.390,,154,967.49,
57,2017-06-27 23:58:48.386,1943.23,154,967.49,254.0
58,2017-06-27 23:58:49.386,,154,967.49,
59,2017-06-27 23:58:53.403,,154,988.64,
60,2017-06-27 23:58:54.388,,154,988.64,
61,2017-06-27 23:59:00.376,,153,988.64,
62,2017-06-27 23:59:01.376,,153,988.64,
63,2017-06-27 23:59:07.390,,153,999.49,
64,2017-06-27 23:59:08.421,,153,999.49,
65,2017-06-27 23:59:16.390,,153,999.49,
66,2017-06-27 23:59:21.380,,153,1003.33,
67,2017-06-27 23:59:22.380,,153,1003.33,
68,2017-06-27 23:59:28.393,,153,1003.33,
69,2017-06-27 23:59:29.379,,153,1003.33,
70,2017-06-27 23:59:35.378,,153,1005.77,
71,2017-06-27 23:59:36.378,,153,1005.77,
72,2017-06-27 23:59:44.387,,153,1005.77,
73,2017-06-27 23:59:45.387,,153,1005.77,
74,2017-06-27 23:59:48.387,2695.21,153,1005.77,275.0
75,2017-06-27 23:59:49.387,,153,1009.38,
76,2017-06-27 23:59:50.388,,153,1009.38,
77,2017-06-27 23:59:54.388,,153,1009.38,
